Time	"Time Code"	"Country Name"	"Country Code"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD]"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]"	"Industry (including construction), value added per worker (constant 2010 US$) [NV.IND.EMPL.KD]"	"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$) [NV.AGR.EMPL.KD]"	"Poverty gap at national poverty lines (%) [SI.POV.NAGP]"	"International tourism, receipts (% of total exports) [ST.INT.RCPT.XP.ZS]"	"Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]"	"Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]"	"Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]"	"Urban population (% of total population) [SP.URB.TOTL.IN.ZS]"	"Population, total [SP.POP.TOTL]"
2014	"YR2014"	"Ecuador"	"ECU"	""	"0.239744446343972"	"98.976067"	"50.82486526515"	"2.1989412270929"	"21806.5397113174"	"4797.46809503353"	"7.9"	"5.13772537953489"	"28.0518541458062"	"29.6563148434008"	""	"63.261"	"15951838"
2014	"YR2014"	"Egypt, Arab Rep."	"EGY"	""	"0.210611913758365"	"99.8"	"91.1290922087205"	"0.616853231315702"	"12736.3096218066"	"4525.79752321601"	""	"16.9167392820722"	"14.2441314553991"	"22.6760563380282"	""	"42.839"	"90424654"
2014	"YR2014"	"El Salvador"	"SLV"	""	"0.137975926303463"	"95.125416"	"40.3021050940061"	"1.24177556577784"	"9413.23026318477"	"2516.90718985597"	""	"19.4102721704762"	"29.552830972843"	"48.5515947749505"	""	"68.874"	"6295128"
2014	"YR2014"	"Equatorial Guinea"	"GNQ"	""	"0.142026667772081"	"66.302734375"	""	"-3.68850197019202"	"188676.276128749"	"1428.95670206643"	""	""	"65.9632885983728"	"38.4159100730149"	""	"70.083"	"1122276"
2014	"YR2014"	"Eritrea"	"ERI"	""	""	"44.6163024902344"	"99.4845360824742"	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Estonia"	"EST"	""	"0.512661484568533"	"100"	"5.05383255664471"	"3.15874959141362"	"31118.1407560527"	"28652.2600738156"	""	"10.4573497317252"	"81.802388001185"	"78.2464848778619"	""	"68.269"	"1314545"
2014	"YR2014"	"Eswatini"	"SWZ"	""	"0.111662895717028"	"65"	""	"1.16938123267956"	"29542.0260602188"	"15236.1594061537"	""	"0.804915439112572"	"50.2453463419611"	"55.1418809013195"	""	"23.149"	"1095021"
2014	"YR2014"	"Ethiopia"	"ETH"	""	"0.0791376898934004"	"27.2"	"0.0315291644771414"	"7.21318728241347"	"1399.22304884676"	"516.385921969514"	""	"32.9957724707064"	"11.6416199095703"	"29.0994642402923"	""	"18.998"	"98094253"
2014	"YR2014"	"Faroe Islands"	"FRO"	""	""	"100"	""	""	""	""	""	""	"51.3575169689621"	"51.3731421642771"	""	"41.501"	"47960"
2014	"YR2014"	"Fiji"	"FJI"	""	"0.151994133595122"	"93.767204284668"	""	"5.50052569982435"	"12502.1239858757"	"2455.17322864217"	""	"40.6573893034821"	""	""	""	"54.216"	"866453"
2014	"YR2014"	"Finland"	"FIN"	""	"0.208842029959654"	"100"	"20.8138749375863"	"-1.0418271343821"	"109635.027974219"	"61407.6998172778"	""	"5.32501180094862"	"37.2222276297731"	"38.1522723069585"	""	"85.175"	"5461512"
2014	"YR2014"	"France"	"FRA"	""	"0.113926282208483"	"100"	"4.82454646646245"	"0.472969992379092"	"85557.3497715589"	"59053.6387770534"	""	"7.8970622007095"	"29.666684498073"	"30.8121120215465"	""	"79.394"	"66316100"
2014	"YR2014"	"French Polynesia"	"PYF"	""	""	"100"	""	""	""	""	""	"66.3024960566788"	""	""	""	"61.633"	"271705"
2014	"YR2014"	"Gabon"	"GAB"	""	"0.157074263086401"	"88.8036117553711"	"59.6596596596597"	"0.619862380246332"	"182528.469557175"	"3667.76744210275"	""	""	"44.5208923945675"	"28.9994366216762"	""	"87.651"	"1883800"
2014	"YR2014"	"Gambia, The"	"GMB"	""	"0.166448376348558"	"52.5215263366699"	""	"-3.89292853188419"	"1502.6885790705"	"937.164662548049"	""	"40.9136664659458"	"19.3500225832379"	"32.1199002693003"	""	"58.528"	"2024042"
2014	"YR2014"	"Georgia"	"GEO"	""	"0.260845664387967"	"100"	"19.6316652203259"	"4.57449992780032"	"14261.2919266185"	"1184.93820399459"	""	"28.0166719103001"	"42.9435896468328"	"60.4701096036089"	""	"57.067"	"3719414"
2014	"YR2014"	"Germany"	"DEU"	""	"0.188370957216014"	"100"	"56.7323430952925"	"1.75299596239597"	"89358.7408778362"	"40967.3314007674"	""	"3.31134628291127"	"45.6448160512355"	"38.7204407556005"	""	"77.19"	"80982500"
2014	"YR2014"	"Ghana"	"GHA"	""	"0.132637794372944"	"78.3"	"18.1979480058628"	"0.566072139476688"	"5708.79890747039"	"2309.46704388476"	""	"6.72936919048185"	"28.8210838394401"	"36.349465248967"	""	"53.419"	"27224472"
2014	"YR2014"	"Gibraltar"	"GIB"	""	""	"100"	"100"	""	""	""	""	""	""	""	""	"100"	"33725"
